FID,OBJECTID,Layer,Phase,Plot_Numbe,Plot_Type,Area_Acre,Area_Sqm,Adjacent_P,Adjacent_R,Availabili,Relationsh,Test,Shape_Leng,Shape_Area,Plot_Name,Plot_No_V1
139,150,00-PLOT BOUNDARY-25-03-2022, , ,Gail Pipe Line,0,0, , ,NA, , ,290.383409985,1943.82530878,Gail Pipe Line, ,,
140,151,00-PLOT BOUNDARY-25-03-2022, , , ,0,0, , ,NA, , ,725.941983808,31432.8774899,No, ,,
141,152,00-PLOT BOUNDARY-25-03-2022, , ,Gail Pipe Line,0,0, , ,NA, , ,407.562669272,2826.87170201,Gail Pipe Line, ,,
142,153,00-PLOT BOUNDARY-25-03-2022, , , ,0,0, , ,NA, , ,1273.93309189,89796.240889,No, ,,
143,154,00-PLOT BOUNDARY-25-03-2022, , , ,0,0, , ,NA, , ,1096.75637854,49307.4715413,No, ,,
144,155,00-PLOT BOUNDARY-25-03-2022,Phase 1,UP-1,CETP & MEE,0,128781.79, , ,NA, , ,1457.447,128781.792409,Utility, ,,
145,156,00-Road-25-03-2022,Phase 1,RD 6,18 MT-ROW,0,9434.09, , ,NA, , ,1084.49841241,9434.08910655,Road, ,,
146,157,00-Road-25-03-2022,Phase 1,RD 7,24 MT-ROW,0,21792.84, , ,NA, , ,1864.91429173,21792.8447936,Road, ,,
147,158,00-Road-25-03-2022,Phase 1,RD 2,24 MT-ROW,0,21583.95, , ,NA, , ,1846.92569292,21583.9453286,Road, ,,
148,159,00-Road-25-03-2022,Phase 1,RD 1,24 MT-ROW,0,16597.47, , ,NA, , ,1431.49783822,16597.4747366,Road, ,,
149,160,00-Road-25-03-2022,Phase 1,RD 3,24 MT-ROW,0,13838.51, , ,NA, , ,1201.08546283,13838.5123672,Road, ,,
150,161,00-Road-25-03-2022,Phase 1,RD 9,18 MT-ROW,0,29530.36, , ,NA, , ,3337.84851866,29530.3572493,Road, ,,
151,162,00-Road-25-03-2022,Phase 1,RD 5,24 MT-ROW,0,10431.27, , ,NA, , ,917.607332823,10431.2706536,Road, ,,
152,163,00-PLOT BOUNDARY-25-03-2022, , ,Gail Pipe Line,0,0, , ,NA, , ,1427.57208534,10463.8027293,Gail Pipe Line, ,,
153,164,00-PLOT BOUNDARY-25-03-2022, , , ,0,0, , ,NA, , ,1354.13524473,74516.0166448,No, ,,
154,165,00-PLOT BOUNDARY-25-03-2022, , ,SUMP & ESR,0,0, , ,NA, , ,562.084892049,13145.4245951,Utility, ,,
155,166,00-PLOT BOUNDARY-25-03-2022, , ,Gail Pipe Line,0,0, , ,NA, , ,495.12238695,3457.19125776,Gail Pipe Line, ,,
156,167,00-PLOT BOUNDARY-25-03-2022, , ,45 MT WIDE ROW,0,0, , ,NA, , ,1079.43876462,22248.9139197,Road, ,,
157,168,00-PLOT BOUNDARY-25-03-2022, , , ,0,0, , ,NA, , ,1550.6804002,115289.891574,No, ,,
158,169,00-Road-25-03-2022,Phase 1,GS,Green Space,0,146170.3, , ,NA, , ,3595.99593685,146170.302194,Green Space, ,,
159,170,00-Road-25-03-2022,Phase 1, , ,0,346282.41, , ,NA, , ,3006.18822549,346282.410117,No, ,,
160,171,00-Road-25-03-2022,Phase 1, , ,0,439070.89, , ,NA, , ,2710.77288457,438917.542771,No, ,,
161,172,00-Road-25-03-2022,Phase 1, , ,0,693195.99, , ,NA, , ,4431.92315287,693195.991675,No, ,,
162,173,00-PLOT BOUNDARY-25-03-2022,Phase 1, , ,0,36810.5, , ,NA, , ,768.641507391,36810.5049979,No, ,,
163,174,00-PLOT BOUNDARY-25-03-2022,Phase 1,UP-8,220 KVA-S.S & 66 KVA-S.S,0,82459.1, , ,NA, , ,1234.75319402,82596.8975398,Utility, ,,
164,175,00-Road-25-03-2022,Phase 1,UP-2,Power UC,0,22967.65, , ,NA, , ,1228.45180964,22967.6501595,Utility, ,,
165,177,00-PLOT BOUNDARY-25-03-2022, , , ,0,0, , ,NA, , ,1205.50320736,80531.2881794,No, ,,
166,178,00-PLOT BOUNDARY-25-03-2022, , , ,0,0, , ,NA, , ,1274.70910293,87451.8763586,No, ,,
167,179,00-PLOT BOUNDARY-25-03-2022, , , ,0,0, , ,NA, , ,1224.62524487,78597.4275352,No, ,,
168,180,00-PLOT BOUNDARY-25-03-2022, , , ,0,0, , ,NA, , ,1268.31805275,69988.5630798,No, ,,
169,181,00-PLOT BOUNDARY-25-03-2022, , , ,0,0, , ,NA, , ,1284.24875404,88405.8411373,No, ,,
170,182,00-PLOT BOUNDARY-25-03-2022, , , ,0,0, , ,NA, , ,1207.8501561,70468.0226961,No, ,,
171,183,00-PLOT BOUNDARY-25-03-2022, , , ,0,0, , ,NA, , ,1258.54001172,79328.9082802,No, ,,
172,184,00-PLOT BOUNDARY-25-03-2022, , ,24 MT-ROW,0,0, , ,NA, , ,1461.4643307,16956.2026558,Road, ,,
173,185, ,Phase 1, , ,0,1666.9, , ,NA, , ,386.526354166,1666.9045425,No, ,,
174,186, ,Phase 1,GS,Green Space,0,5215.46, , ,NA, , ,663.553979776,5215.45588359,Green Space, ,,
175,187, ,Phase 1,GS,Green Space,0,852.08, , ,NA, , ,172.728021889,852.075043645,Green Space, ,,
176,188,00-PLOT BOUNDARY-25-03-2022, , ,220 KV High Tension Line,0,0, , ,NA, , ,3036.80765734,51893.9380268,220 KV High Tension Line, ,,
177,189,00-PLOT BOUNDARY-25-03-2022, ,GS,Green Space,0,0, , ,NA, , ,3253.69867422,151450.980433,Green Space, ,,
178,190,00-PLOT BOUNDARY-25-03-2022, ,GS,Green Space,0,0, , ,NA, , ,2265.71099721,70037.1366862,Green Space, ,,
179,191,00-PLOT BOUNDARY-25-03-2022, , ,150 MT WIDE ROW,0,0, , ,NA, , ,3169.24770659,182192.008738,Road, ,,
180,192,00-PLOT BOUNDARY-25-03-2022, ,GS,Green Space,0,0, , ,NA, , ,1858.76013741,13707.929229,Green Space, ,,
181,193,00-PLOT BOUNDARY-25-03-2022, , , ,0,0, , ,NA, , ,1222.60348794,92396.0576315,No, ,,
182,194,00-PLOT BOUNDARY-25-03-2022, , ,24 MT-ROW,0,0, , ,NA, , ,1129.64695469,12979.6037166,Road, ,,
183,195,00-PLOT BOUNDARY-25-03-2022, , ,24 MT-ROW,0,0, , ,NA, , ,1544.40218995,17952.7292666,Road, ,,
184,196,00-PLOT BOUNDARY-25-03-2022, ,GS,Green Space,0,0, , ,NA, , ,239.270520407,2343.52464599,Green Space, ,,
185,197,00-PLOT BOUNDARY-25-03-2022, , , ,0,0, , ,NA, , ,899.305887814,46500.2575772,No, ,,
186,198,00-PLOT BOUNDARY-25-03-2022, , , ,0,0, , ,NA, , ,1041.31917473,57870.9475131,No, ,,
187,199,00-PLOT BOUNDARY-25-03-2022, , ,Drainage PS-5,0,0, , ,NA, , ,531.175782414,12725.7528855,Utility, ,,
188,200,00-PLOT BOUNDARY-25-03-2022, , , ,0,0, , ,NA, , ,945.735116978,54204.5349788,No, ,,
189,201,00-PLOT BOUNDARY-25-03-2022, , ,24 MT-ROW,0,0, , ,NA, , ,9947.26391533,118779.511155,Road, ,,
